codigo,nome,cidade,estado,população,renda_media,faturamento,subprefeitura,regiao_adm,idh,idh_subprefeitura,população_subprefeitura,densidade_subprefeitura,densidade_bairro,renda_abs_bairro,renda_media_subprefeitura,total_domicilios,percent_domicilios_a1,percent_domicilios_a2,percent_domicilios_b1,percent_domicilios_b2,percent_domicilios_c1,percent_domicilios_c2,percent_domicilios_d,percent_domicilios_e,percent_pop_ate9,percent_pop_de10a14,percent_pop_de15a19,percent_pop_de20a24,percent_pop_de25a34,percent_pop_de35a49,percent_pop_de50a59,percent_pop_mais_de60
3304557060,Abolicao,Rio de Janeiro,RJ,11676,2501.0,932515.0,Grande Méier,Méier,0.857,0.8650625000000001,408744,138.98224401390016,189.45318838228135,29201676.0,2644.252708296636,4349,0.0,0.03334099793055875,0.164405610485169,0.2855828926189929,0.2513221430213842,0.1742929409059554,0.02115428834214762,0.06990112669579214,0.08795820486467969,0.04136690647482014,0.05892428914011648,0.0685166152792052,0.1434566632408359,0.19698526892771498,0.1527920520726276,0.25
3304557057,Agua Santa,Rio de Janeiro,RJ,9003,2391.0,874200.0,Grande Méier,Méier,0.877,0.8650625000000001,408744,138.98224401390016,37.10741076580661,21526173.0,2644.252708296636,2649,0.0,0.0362400906002265,0.15251038127595318,0.24613061532653832,0.24311060777651944,0.1970554926387316,0.029067572668931674,0.09588523971309929,0.09807841830500943,0.044318560479840056,0.06631122959013662,0.0846384538487171,0.19493502165944684,0.23058980339886703,0.12351438409419083,0.15761412862379207
3304557055,Cachambi,Rio de Janeiro,RJ,43591,2963.0,1182272.0,Grande Méier,Méier,0.9,0.8650625000000001,408744,138.98224401390016,193.72055817260687,129160133.0,2644.252708296636,15954,0.009151310016296854,0.043249341857841295,0.2389369437131754,0.24802557352388116,0.229346872257741,0.11796414692240191,0.014604487902720321,0.09872132380594208,0.08751806565575462,0.04370168153976738,0.05918652932944874,0.06593104081117662,0.1505815420614347,0.22082539973847812,0.14363056594251106,0.22862517492142873
3304557058,Encantado,Rio de Janeiro,RJ,15445,2342.0,916012.0,Grande Méier,Méier,0.877,0.8650625000000001,408744,138.98224401390016,145.69380247146495,36172190.0,2644.252708296636,5533,0.0,0.0305440086752214,0.14404482197722754,0.26802819446954634,0.25628049882523046,0.17151635640701246,0.030182541116934754,0.09940357852882704,0.09472321139527355,0.04894787957267724,0.06817740369051473,0.07620589187439301,0.14710262220783424,0.20757526707672386,0.1422466817740369,0.21502104240854644
3304557056,Engenho De Dentro,Rio de Janeiro,RJ,46584,2260.0,903559.0,Grande Méier,Méier,0.857,0.8650625000000001,408744,138.98224401390016,118.82460973370064,105279840.0,2644.252708296636,16708,0.0,0.03423509695954034,0.14669619344026813,0.19583433085946853,0.24982044529566674,0.2418003351687814,0.022983002154656453,0.10863059612161839,0.09930448222565688,0.04793491327494419,0.06669671990382964,0.06995964279580973,0.14738966168641593,0.2062296067319251,0.13936115404430705,0.22312381933711145
3304557051,Engenho Novo,Rio de Janeiro,RJ,43362,2325.0,932007.0,Grande Méier,Méier,0.858,0.8650625000000001,408744,138.98224401390016,163.95190562613428,100816650.0,2644.252708296636,15109,0.0,0.03633595870011252,0.15725726388245417,0.20246210867694753,0.26202925408696803,0.16936925011582502,0.03296048712687802,0.13958567741081473,0.11138785111387851,0.05421797887551312,0.07294405239610718,0.07453530741201975,0.1543056132097228,0.21521147548544808,0.13308887966422214,0.1843088418430884
3304557146,Jacare,Rio de Janeiro,RJ,9538,1374.0,822849.0,Grande Méier,Méier,0.839,0.8650625000000001,408744,138.98224401390016,113.19724661761215,13105212.0,2644.252708296636,2830,0.0,0.00530035335689046,0.0568904593639576,0.17385159010600706,0.22367491166077738,0.27985865724381626,0.0696113074204947,0.19081272084805653,0.13902285594464248,0.06594673935835604,0.07999580624868945,0.07464877332774167,0.16219333193541624,0.20140490668903335,0.11616691130215978,0.160620675193961
3304557052,Lins De Vasconcelos,Rio de Janeiro,RJ,38547,2038.0,932622.0,Grande Méier,Méier,0.859,0.8650625000000001,408744,138.98224401390016,144.4140566461861,78558786.0,2644.252708296636,13007,0.0,0.022295686937802723,0.15868378565387867,0.1831321596063658,0.2246482663181364,0.16252786960867224,0.029215038056431154,0.219497193818713,0.11160401587672192,0.05325965704205256,0.07014813085324409,0.07056320855060057,0.15012841466261967,0.2221443951539679,0.1294523568630503,0.19269982099774302
3304557053,Meier,Rio de Janeiro,RJ,51234,4671.0,1626856.0,Grande Méier,Méier,0.931,0.8650625000000001,408744,138.98224401390016,207.34954874741996,239314014.0,2644.252708296636,19903,0.025624277747073307,0.09410641611817314,0.27448123398482643,0.255690096970306,0.19650303974275235,0.07888258051550018,0.006581922323267849,0.06813043259810078,0.06579615099348089,0.0335519381660616,0.05369481203888043,0.06335636491392435,0.13274388101651247,0.1922551430690557,0.15946441815981574,0.2991372916422688
3304557059,Piedade,Rio de Janeiro,RJ,44603,1944.0,808082.0,Grande Méier,Méier,0.85,0.8650625000000001,408744,138.98224401390016,114.74621182886986,86708232.0,2644.252708296636,15775,0.0,0.006022187004754358,0.13356576862123612,0.2042472266244057,0.2833597464342314,0.25160063391442156,0.03169572107765452,0.08950871632329635,0.10441001726341277,0.04914467636706051,0.06997287177992512,0.07277537385377665,0.14469878707710243,0.21269869739703606,0.13723292155236194,0.20906665470932448
